,m,m&m−1,(m&m−1)%3, m|m−1,((m|m−1)+1)%3,4 disks,5 disks
1,00000001,0,0,1,2,0→1,0→2
2,00000010,0,0,3,1,0→2,0→1
3,00000011,2,2,3,1,1→2,2→1
4,00000100,0,0,7,2,0→1,0→2
5,00000101,4,1,5,0,2→0,1→0
6,00000110,4,1,7,2,2→1,1→2
7,00000111,6,0,7,2,0→1,0→2
8,00001000,0,0,15,1,0→2,0→1
9,00001001,8,2,9,1,1→2,2→1
10,00001010,8,2,11,0,1→0,2→0
11,00001011,10,1,11,0,2→0,1→0
12,00001100,8,2,15,1,1→2,2→1
13,00001101,12,0,13,2,0→1,0→2
14,00001110,12,0,15,1,0→2,0→1
15,00001111,14,2,15,1,1→2,2→1
,,,,,,,…